UniqueID1232,FESID2244,EnvironmentalClass,EnvironmentalSubclass,Ecological End-Product Class,Ecological End-Product Subclass,Direct Use/Non-Use Class,Direct Use/Non-Use Subclass I,Direct Use/Non-Use Subclass II,Direct User Class,Direct User Subclass I,Direct User Subclass II,FESID2244,BeneficiaryCategory,BeneficiarySubcategory,FEGSIDNumber,FEGS,Example,Importance,FEGSMeasurementincludingUnits,MeasurementType,Status,Source,Notes
1201,26.31.1107.2111,Terrestrial,Barren / Rock and Sand,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,26.31.1107.2111,Recreational,Hunters,26.0603,fauna,"armadillos, coyotes, snakes","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1146,21.31.1107.2111,Terrestrial,Forests,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,21.31.1107.2111,Recreational,Food Pickers and Gatherers,21.0602,fauna, ,"edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1149,21.31.1107.2111,Terrestrial,Forests,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,21.31.1107.2111,Recreational,Hunters,21.0603,fauna,"deer, bear, rabbit, elk, grouse, turkey, boar","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1179,24.31.1107.2111,Terrestrial,Grasslands,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,24.31.1107.2111,Recreational,Food Pickers and Gatherers,24.0602,fauna, ,"edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1182,24.31.1107.2111,Terrestrial,Grasslands,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,24.31.1107.2111,Recreational,Hunters,24.0603,fauna, ,"organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1222,28.31.1107.2111,Terrestrial,Ice and Snow,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,28.31.1107.2111,Recreational,Hunters,28.0603,fauna,"caribou, yak, fox, polar bears","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1094,13.31.1107.2111,Aquatic,Lakes and Ponds,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,13.31.1107.2111,Recreational,Food Pickers and Gatherers,13.0602,fauna,"mussels, clams","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1096,13.31.1107.2111,Aquatic,Lakes and Ponds,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,13.31.1107.2111,Recreational,Hunters,13.0603,fauna,"beaver, ducks, geese","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1097,13.31.1107.2111,Aquatic,Lakes and Ponds,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,13.31.1107.2111,Recreational,Anglers,13.0604,fish, ,fish in the water,"anglers (number per year) angling pressure (high, medium, low)",Use,Proposed,"Bill Fisher (USEPA), Dave Peck (USEPA), John Stoddard (USEPA)",NA
1111,14.31.1107.2111,Aquatic,Near Coastal Marine and Estuaries,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,14.31.1107.2111,Recreational,Food Pickers and Gatherers,14.0602,fauna,"oysters, clams, mussels, crabs","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1113,14.31.1107.2111,Aquatic,Near Coastal Marine and Estuaries,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,14.31.1107.2111,Recreational,Hunters,14.0603,fauna,"duck, geese, deer, moose","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1114,14.31.1107.2111,Aquatic,Near Coastal Marine and Estuaries,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,14.31.1107.2111,Recreational,Anglers,14.0604,fish, ,fish in the water,NA,NA,NA,NA,NA
1122,15.31.1107.2111,Aquatic,Open Oceans and Seas,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,15.31.1107.2111,Recreational,Hunters,15.0603,fauna,"whales, albatrosses","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1123,15.31.1107.2111,Aquatic,Open Oceans and Seas,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,15.31.1107.2111,Recreational,Anglers,15.0604,fish, ,fish in the water,NA,NA,NA,NA,NA
1060,11.31.1107.2111,Aquatic,Rivers and Streams,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,11.31.1107.2111,Recreational,Food Pickers and Gatherers,11.0602,fauna,"crawfish, clams, snails","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1062,11.31.1107.2111,Aquatic,Rivers and Streams,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,11.31.1107.2111,Recreational,Hunters,11.0603,fauna,"moose, ducks, geese","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1063,11.31.1107.2111,Aquatic,Rivers and Streams,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,11.31.1107.2111,Recreational,Anglers,11.0604,fish, ,fish in the water,fishermen / yr,Use,Proposed,Bill Fisher (USEPA),NA
1193,25.31.1107.2111,Terrestrial,Scrubland / Shrubland,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,25.31.1107.2111,Recreational,Food Pickers and Gatherers,25.0602,fauna, ,"edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1195,25.31.1107.2111,Terrestrial,Scrubland / Shrubland,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,25.31.1107.2111,Recreational,Hunters,25.0603,fauna, ,"organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1213,27.31.1107.2111,Terrestrial,Tundra,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,27.31.1107.2111,Recreational,Hunters,27.0603,fauna,"bear, caribou, fox, musk ox, ptarmigan","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1077,12.31.1107.2111,Aquatic,Wetlands,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,12.31.1107.2111,Recreational,Food Pickers and Gatherers,12.0602,fauna,"crawfish, mussels","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
1079,12.31.1107.2111,Aquatic,Wetlands,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,12.31.1107.2111,Recreational,Hunters,12.0603,fauna,"beaver, ducks, geese, alligator","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
1080,12.31.1107.2111,Aquatic,Wetlands,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,12.31.1107.2111,Recreational,Anglers,12.0604,fish, ,fish in the water,NA,NA,NA,NA,NA
1165,23.21.1107.2111,Terrestrial,Created Greenspace,Flora,Flora,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,23.21.1107.2111,Recreational,Food Pickers and Gatherers,23.0602,flora, ,"edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)",NA,NA,NA,NA,NA
